id,province_id,name,alt_name,latitude,longitude
3301,33.0,KABUPATEN CILACAP,KABUPATEN CILACAP,-7.57417,108.98861
3302,33.0,KABUPATEN BANYUMAS,KABUPATEN BANYUMAS,-7.45,109.16667
3303,33.0,KABUPATEN PURBALINGGA,KABUPATEN PURBALINGGA,-7.28417,109.35028
3304,33.0,KABUPATEN BANJARNEGARA,KABUPATEN BANJARNEGARA,-7.35111,109.5875
3305,33.0,KABUPATEN KEBUMEN,KABUPATEN KEBUMEN,-7.63917,109.66056
3306,33.0,KABUPATEN PURWOREJO,KABUPATEN PURWOREJO,-7.7,109.96667
3307,33.0,KABUPATEN WONOSOBO,KABUPATEN WONOSOBO,-7.36139,109.92667
3308,33.0,KABUPATEN MAGELANG,KABUPATEN MAGELANG,-7.4275,110.16194
3309,33.0,KABUPATEN BOYOLALI,KABUPATEN BOYOLALI,-7.5,110.7
3310,33.0,KABUPATEN KLATEN,KABUPATEN KLATEN,-7.68333,110.61667
3311,33.0,KABUPATEN SUKOHARJO,KABUPATEN SUKOHARJO,-7.68333,110.83333
3312,33.0,KABUPATEN WONOGIRI,KABUPATEN WONOGIRI,-7.91667,111
3313,33.0,KABUPATEN KARANGANYAR,KABUPATEN KARANGANYAR,-7.62806,111.0625
3314,33.0,KABUPATEN SRAGEN,KABUPATEN SRAGEN,-7.41278,110.935
3315,33.0,KABUPATEN GROBOGAN,KABUPATEN GROBOGAN,-7.11667,110.91667
3316,33.0,KABUPATEN BLORA,KABUPATEN BLORA,-7.06667,111.38333
3317,33.0,KABUPATEN REMBANG,KABUPATEN REMBANG,-6.78333,111.46667
3318,33.0,KABUPATEN PATI,KABUPATEN PATI,-6.76667,111.1
3319,33.0,KABUPATEN KUDUS,KABUPATEN KUDUS,-6.8,110.86667
3320,33.0,KABUPATEN JEPARA,KABUPATEN JEPARA,-6.58333,110.76667
3321,33.0,KABUPATEN DEMAK,KABUPATEN DEMAK,-6.8993,110.6122
3322,33.0,KABUPATEN SEMARANG,KABUPATEN SEMARANG,-7.20667,110.44139
3323,33.0,KABUPATEN TEMANGGUNG,KABUPATEN TEMANGGUNG,-7.25,110.11667
3324,33.0,KABUPATEN KENDAL,KABUPATEN KENDAL,-7.0256,110.1685
3325,33.0,KABUPATEN BATANG,KABUPATEN BATANG,-7.03333,109.88333
3326,33.0,KABUPATEN PEKALONGAN,KABUPATEN PEKALONGAN,-7.0319,109.624
3327,33.0,KABUPATEN PEMALANG,KABUPATEN PEMALANG,-7.03333,109.4
3328,33.0,KABUPATEN TEGAL,KABUPATEN TEGAL,-7.03333,109.16667
3329,33.0,KABUPATEN BREBES,KABUPATEN BREBES,-7.05,108.9
3371,33.0,KOTA MAGELANG,KOTA MAGELANG,-7.5,110.225
3372,33.0,KOTA SURAKARTA,KOTA SURAKARTA,-7.55,110.81667
3373,33.0,KOTA SALATIGA,KOTA SALATIGA,-7.330965264770849,110.5086973218211
3374,33.0,KOTA SEMARANG,KOTA SEMARANG,-6.981368437229428,110.4119427199277
3375,33.0,KOTA PEKALONGAN,KOTA PEKALONGAN,-6.9,109.68333
3376,33.0,KOTA TEGAL,KOTA TEGAL,-6.8686,109.1129
