id,province_id,name,alt_name,latitude,longitude
3501,35.0,KABUPATEN PACITAN,KABUPATEN PACITAN,-8.13333,111.16667
3502,35.0,KABUPATEN PONOROGO,KABUPATEN PONOROGO,-7.93333,111.5
3503,35.0,KABUPATEN TRENGGALEK,KABUPATEN TRENGGALEK,-8.16667,111.61667
3504,35.0,KABUPATEN TULUNGAGUNG,KABUPATEN TULUNGAGUNG,-8.09103079798241,111.96166968415548
3505,35.0,KABUPATEN BLITAR,KABUPATEN BLITAR,-8.13333,112.25
3506,35.0,KABUPATEN KEDIRI,KABUPATEN KEDIRI,-7.83333,112.16667
3507,35.0,KABUPATEN MALANG,KABUPATEN MALANG,-8.16667,112.66667
3508,35.0,KABUPATEN LUMAJANG,KABUPATEN LUMAJANG,-8.11667,113.15
3509,35.0,KABUPATEN JEMBER,KABUPATEN JEMBER,-8.25,113.65
3510,35.0,KABUPATEN BANYUWANGI,KABUPATEN BANYUWANGI,-8.33333,114.2
3511,35.0,KABUPATEN BONDOWOSO,KABUPATEN BONDOWOSO,-7.9404,113.9834
3512,35.0,KABUPATEN SITUBONDO,KABUPATEN SITUBONDO,-7.71667,114.05
3513,35.0,KABUPATEN PROBOLINGGO,KABUPATEN PROBOLINGGO,-7.86667,113.31667
3514,35.0,KABUPATEN PASURUAN,KABUPATEN PASURUAN,-7.73333,112.83333
3515,35.0,KABUPATEN SIDOARJO,KABUPATEN SIDOARJO,-7.45,112.7
3516,35.0,KABUPATEN MOJOKERTO,KABUPATEN MOJOKERTO,-7.55,112.5
3517,35.0,KABUPATEN JOMBANG,KABUPATEN JOMBANG,-7.55,112.25
3518,35.0,KABUPATEN NGANJUK,KABUPATEN NGANJUK,-7.6,111.93333
3519,35.0,KABUPATEN MADIUN,KABUPATEN MADIUN,-7.61667,111.65
3520,35.0,KABUPATEN MAGETAN,KABUPATEN MAGETAN,-7.64472,111.35917
3521,35.0,KABUPATEN NGAWI,KABUPATEN NGAWI,-7.47444,111.33444
3522,35.0,KABUPATEN BOJONEGORO,KABUPATEN BOJONEGORO,-7.25,111.8
3523,35.0,KABUPATEN TUBAN,KABUPATEN TUBAN,-6.96667,111.9
3524,35.0,KABUPATEN LAMONGAN,KABUPATEN LAMONGAN,-7.13333,112.31667
3525,35.0,KABUPATEN GRESIK,KABUPATEN GRESIK,-7.1933,112.553
3526,35.0,KABUPATEN BANGKALAN,KABUPATEN BANGKALAN,-7.05,112.93333
3527,35.0,KABUPATEN SAMPANG,KABUPATEN SAMPANG,-7.05,113.25
3528,35.0,KABUPATEN PAMEKASAN,KABUPATEN PAMEKASAN,-7.06667,113.5
3529,35.0,KABUPATEN SUMENEP,KABUPATEN SUMENEP,-7.11667,114.33333
3571,35.0,KOTA KEDIRI,KOTA KEDIRI,-7.83333,112.01667
3572,35.0,KOTA BLITAR,KOTA BLITAR,-8.1,112.16667
3573,35.0,KOTA MALANG,KOTA MALANG,-7.975,112.63333
3574,35.0,KOTA PROBOLINGGO,KOTA PROBOLINGGO,-7.78333,113.21667
3575,35.0,KOTA PASURUAN,KOTA PASURUAN,-7.65,112.9
3576,35.0,KOTA MOJOKERTO,KOTA MOJOKERTO,-7.46667,112.43333
3577,35.0,KOTA MADIUN,KOTA MADIUN,-7.63333,111.53333
3578,35.0,KOTA SURABAYA,KOTA SURABAYA,-7.26667,112.71667
3579,35.0,KOTA BATU,KOTA BATU,-7.882826424304579,112.53345431837603
